AVG Current,STD Current,MAX Current,MIN Current,Range Current,Kurtosis Current,RMS Current,Skewness Current,Entropy Current,AVG Torque,STD Torque,MAX Torque,MIN Torque,Range Torque,Kurtosis Torque,RMS Torque,Skewness Torque,Entropy Torque,AVG Active Power,STD Active Power,MAX Active Power,MIN Active Power,Range Active Power,Kurtosis Active Power,RMS Active Power,Skewness Active Power,Entropy Active Power,Class
0.562198,0.010668,0.585876,0.543152,0.042724,0.907069,0.562299,0.231029,6.907576,0.060938,0.012092,0.078491,0.036560,0.041931,1.103740,0.062125,0.461318,6.887204,0.378688,0.021619,0.410034,0.335388,0.074646,1.133685,0.379304,0.469143,6.906111,0
0.562333,0.010963,0.585510,0.542847,0.042663,0.867511,0.562440,0.219017,6.907566,0.060775,0.011898,0.078186,0.036560,0.041626,1.182132,0.061928,0.410498,6.887842,0.378359,0.021446,0.406982,0.334961,0.072021,1.202730,0.378966,0.427759,6.906136,0
0.564779,0.011326,0.588074,0.546326,0.041748,0.895457,0.564893,0.226155,6.907555,0.060899,0.011948,0.079529,0.038086,0.041443,1.169355,0.062059,0.402757,6.887763,0.379409,0.021319,0.411377,0.336914,0.074463,1.186352,0.380006,0.415224,6.906164,0
0.565760,0.011328,0.590088,0.547607,0.042481,0.907523,0.565873,0.202024,6.907555,0.061225,0.012347,0.078979,0.037231,0.041748,1.200059,0.062457,0.391469,6.886625,0.380308,0.021919,0.412354,0.338257,0.074097,1.214552,0.380938,0.408852,6.906081,0
0.565353,0.010742,0.589539,0.548889,0.040650,0.932472,0.565454,0.252821,6.907575,0.060560,0.012344,0.079834,0.036804,0.043030,1.156230,0.061804,0.411938,6.886118,0.379078,0.022063,0.410461,0.334839,0.075622,1.171565,0.379718,0.448976,6.906047,0
0.562265,0.010747,0.585022,0.544250,0.040772,0.968509,0.562367,0.234536,6.907573,0.060121,0.011898,0.076294,0.036621,0.039673,1.125524,0.061286,0.451531,6.887331,0.377532,0.021371,0.406189,0.336670,0.069519,1.166770,0.378136,0.456882,6.906139,0
0.562493,0.010983,0.586609,0.543640,0.042969,0.895427,0.562600,0.242953,6.907565,0.060592,0.011946,0.078491,0.035950,0.042541,1.156543,0.061757,0.412606,6.887547,0.378116,0.021425,0.410828,0.334656,0.076172,1.157924,0.378722,0.424576,6.906137,0
0.564764,0.011299,0.588684,0.545593,0.043091,0.912985,0.564877,0.205424,6.907556,0.061052,0.011828,0.077515,0.038208,0.039307,1.172184,0.062186,0.425671,6.888246,0.379703,0.021251,0.409241,0.337830,0.071411,1.194539,0.380297,0.434169,6.906176,0
0.565894,0.011192,0.588745,0.547791,0.040954,0.867393,0.566004,0.215174,6.907560,0.061011,0.012261,0.079407,0.037109,0.042298,1.169677,0.062229,0.394560,6.886765,0.380043,0.021773,0.411987,0.336548,0.075439,1.152086,0.380665,0.431673,6.906101,0
0.565547,0.010957,0.589355,0.547974,0.041381,0.916204,0.565653,0.233036,6.907568,0.060171,0.012221,0.077820,0.035156,0.042664,1.133850,0.061399,0.435402,6.886235,0.378434,0.021821,0.409790,0.333740,0.076050,1.159791,0.379062,0.434549,6.906079,0
